FILING_TYPE_ID,FILING_TYPE
3027,Certificate of Amendment (Prior To Effective Date)
4004,Amended Trade Name Report
4006,Transfer of Trade Name
4027,Certificate of Amendment (Prior To Effective Date)
43027,Certificate of Amendment (Prior To Effective Date)
13141,Withdrawal of Ouster
14141,Withdrawal of Ouster
15141,Withdrawal of Ouster
20004,Amended Trade Name Report
20006,Transfer of Trade Name
20016,Resignation of Registered Agent
18103,Amended Certificate Of Qualification With Mailing Address Change Only
13103,Amended Certificate Of Qualification With Mailing Address Change Only
13004,Amended Trade Name Report
13006,Transfer of Trade Name
13015,Appointment of Registered Agent
3005,Withdrawal of Trade Name Report
27006,Transfer of Trade Name
26043,Annual Agent Fee
25005,Withdrawal of Trade Name Report
24043,Annual Agent Fee
24004,Amended Trade Name Report
22006,Transfer of Trade Name
19129,Change of Registered Agent and/or Office and/or Principal Office
31003,Trade Name Report
31006,Transfer of Trade Name
29015,Appointment of Registered Agent
28046,Court Ordered Cancellation
28005,Withdrawal of Trade Name Report
36016,Resignation of Registered Agent
27004,Amended Trade Name Report
45003,Trade Name Report
39014,Change of Registered Agent and/or Office
34120,Statement of Denial
34003,Trade Name Report
34005,Withdrawal of Trade Name Report
33004,Amended Trade Name Report
33005,Withdrawal of Trade Name Report
33087,Change of Office Address
36140,Intent To Dissolve
37140,Intent To Dissolve
38140,Intent To Dissolve
39140,Intent To Dissolve
40140,Intent To Dissolve
41140,Intent To Dissolve
42140,Intent To Dissolve
44140,Intent To Dissolve
49140,Intent To Dissolve
48078,Final Official Statement
48081,Termination of Trust
48083,Appointment of Trustee
48086,Manual Signature
45055,Notice of Cancellation
44054,Change of Principal Place of Business Address
4005,Withdrawal of Trade Name Report
4008,Certificate of Correction
4028,Certificate of Termination (Prior to Effective Date)
3140,Intent To Dissolve
5140,Intent To Dissolve
7140,Intent To Dissolve
8140,Intent To Dissolve
9140,Intent To Dissolve
10140,Intent To Dissolve
12140,Intent To Dissolve
16140,Intent To Dissolve
17140,Intent To Dissolve
19140,Intent To Dissolve
20140,Intent To Dissolve
21140,Intent To Dissolve
22140,Intent To Dissolve
26140,Intent To Dissolve
27140,Intent To Dissolve
28140,Intent To Dissolve
29140,Intent To Dissolve
33140,Intent To Dissolve
35140,Intent To Dissolve
7027,Certificate of Amendment (Prior To Effective Date)
7028,Certificate of Termination (Prior to Effective Date)
7093,Amended Certificate of Incorporation with Increase in Stock
7094,Restated Certificate Of Incorporation With Increase In Stock
3007,Trade Name Transfer Recipient
3008,Certificate of Correction
3028,Certificate of Termination (Prior to Effective Date)
4003,Trade Name Report
3004,Amended Trade Name Report
7021,Certificate of Conversion
7022,Certificate of Renewal Revival Extension & Restoration
7023,Certificate of Acquisition
7024,Certificate of Designation
7025,Certificate of Dissolution
7026,Court Ordered Dissolution
7005,Withdrawal of Trade Name Report
7006,Transfer of Trade Name
7007,Trade Name Transfer Recipient
5009,Certificate of Fictitious Name
1002,Name Reservation Extension/Renewal
1001,Name Reservation
1092,Transfer of Name Reservation
2090,Name Reservation
2091,Name Reservation Extension/Renewal
2092,Transfer of Name Reservation
3003,Trade Name Report
7012,Certificate of Incorporation
5010,Amended Certificate of Fictitious Name
5011,Certificate of Cancellation of Fictitious Name
6010,Amended Certificate of Fictitious Name
7003,Trade Name Report
7004,Amended Trade Name Report
7014,Change of Registered Agent and/or Office
7015,Appointment of Registered Agent
7016,Resignation of Registered Agent
7018,Resignation of Former Registered Agent
7019,Certificate of Merger
7020,Certificate of Consolidation
7099,Certificate Of Amendment Of Merger (Prior To Effective Date)
7104,Certificate of Amendment of Consolidation (Prior To Effective Date)
7105,Certificate of Termination of Consolidation (Prior to Effective Date)
7107,Revocation of Dissolution
7108,OTC Suspension
7109,OTC Reinstatement
7095,Restated Certificate Of Incorporation
8004,Amended Trade Name Report
8005,Withdrawal of Trade Name Report
8006,Transfer of Trade Name
8007,Trade Name Transfer Recipient
8008,Certificate of Correction
7132,Administrative Agent Change
8012,Certificate of Incorporation
8013,Amended Certificate of Incorporation
8014,Change of Registered Agent and/or Office
8015,Appointment of Registered Agent
8016,Resignation of Registered Agent
8019,Certificate of Merger
8020,Certificate of Consolidation
8021,Certificate of Conversion
8022,Certificate of Renewal Revival Extension & Restoration
8017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
7135,OTC Suspension in Error
8003,Trade Name Report
8025,Certificate of Dissolution
8026,Court Ordered Dissolution
8028,Certificate of Termination (Prior to Effective Date)
8093,Amended Certificate of Incorporation with Increase in Stock
8024,Certificate of Designation
8018,Resignation of Former Registered Agent
8095,Restated Certificate Of Incorporation
8100,Certificate Of Termination Of Merger (Prior To Effective Date)
8104,Certificate of Amendment of Consolidation (Prior To Effective Date)
8105,Certificate of Termination of Consolidation (Prior to Effective Date)
9003,Trade Name Report
9004,Amended Trade Name Report
9005,Withdrawal of Trade Name Report
8107,Revocation of Dissolution
9006,Transfer of Trade Name
9008,Certificate of Correction
9012,Certificate of Incorporation
14005,Withdrawal of Trade Name Report
14015,Appointment of Registered Agent
14018,Resignation of Former Registered Agent
14006,Transfer of Trade Name
14020,Certificate of Consolidation
14023,Certificate of Acquisition
14027,Certificate of Amendment (Prior To Effective Date)
8108,OTC Suspension
8109,OTC Reinstatement
8132,Administrative Agent Change
8135,OTC Suspension in Error
14088,Certificate of Qualification(TAC)
14089,Certificate of Qualification(POC)
14099,Certificate Of Amendment Of Merger (Prior To Effective Date)
14028,Certificate of Termination (Prior to Effective Date)
14007,Trade Name Transfer Recipient
14008,Certificate of Correction
14014,Change of Registered Agent and/or Office
23036,Articles of Merger
23037,Articles of Consolidation
14100,Certificate Of Termination Of Merger (Prior To Effective Date)
23040,Annual Certificates
14030,Amended Certificate of Qualification
14031,Certificate of Withdrawal
23041,Certificate of Registration
9017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
14101,Withdrawal of Fictitious Name
14103,Amended Certificate Of Qualification With Mailing Address Change Only
9018,Resignation of Former Registered Agent
23042,Certificate of Amendment
23113,Cancelled
23129,Change of Registered Agent and/or Office and/or Principal Office
9015,Appointment of Registered Agent
9019,Certificate of Merger
9021,Certificate of Conversion
9022,Certificate of Renewal Revival Extension & Restoration
9023,Certificate of Acquisition
9025,Certificate of Dissolution
9027,Certificate of Amendment (Prior To Effective Date)
9028,Certificate of Termination (Prior to Effective Date)
9093,Amended Certificate of Incorporation with Increase in Stock
9094,Restated Certificate Of Incorporation With Increase In Stock
9095,Restated Certificate Of Incorporation
9026,Court Ordered Dissolution
9100,Certificate Of Termination Of Merger (Prior To Effective Date)
9104,Certificate of Amendment of Consolidation (Prior To Effective Date)
9105,Certificate of Termination of Consolidation (Prior to Effective Date)
9107,Revocation of Dissolution
9108,OTC Suspension
9109,OTC Reinstatement
9132,Administrative Agent Change
9135,OTC Suspension in Error
10003,Trade Name Report
9099,Certificate Of Amendment Of Merger (Prior To Effective Date)
10008,Certificate of Correction
10012,Certificate of Incorporation
10013,Amended Certificate of Incorporation
10014,Change of Registered Agent and/or Office
10015,Appointment of Registered Agent
10016,Resignation of Registered Agent
10018,Resignation of Former Registered Agent
10004,Amended Trade Name Report
10022,Certificate of Renewal Revival Extension & Restoration
10023,Certificate of Acquisition
10025,Certificate of Dissolution
10019,Certificate of Merger
10005,Withdrawal of Trade Name Report
10006,Transfer of Trade Name
10093,Amended Certificate of Incorporation with Increase in Stock
10095,Restated Certificate Of Incorporation
10026,Court Ordered Dissolution
10020,Certificate of Consolidation
10021,Certificate of Conversion
10105,Certificate of Termination of Consolidation (Prior to Effective Date)
10108,OTC Suspension
10109,OTC Reinstatement
10132,Administrative Agent Change
10099,Certificate Of Amendment Of Merger (Prior To Effective Date)
10135,OTC Suspension in Error
10027,Certificate of Amendment (Prior To Effective Date)
10028,Certificate of Termination (Prior to Effective Date)
12014,Change of Registered Agent and/or Office
12015,Appointment of Registered Agent
12016,Resignation of Registered Agent
12017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
12018,Resignation of Former Registered Agent
12003,Trade Name Report
10100,Certificate Of Termination Of Merger (Prior To Effective Date)
10104,Certificate of Amendment of Consolidation (Prior To Effective Date)
12025,Certificate of Dissolution
12019,Certificate of Merger
12004,Amended Trade Name Report
12005,Withdrawal of Trade Name Report
12006,Transfer of Trade Name
12007,Trade Name Transfer Recipient
12012,Certificate of Incorporation
12013,Amended Certificate of Incorporation
12095,Restated Certificate Of Incorporation
12026,Court Ordered Dissolution
12020,Certificate of Consolidation
12022,Certificate of Renewal Revival Extension & Restoration
12023,Certificate of Acquisition
12024,Certificate of Designation
12109,OTC Reinstatement
12132,Administrative Agent Change
12135,OTC Suspension in Error
12027,Certificate of Amendment (Prior To Effective Date)
12028,Certificate of Termination (Prior to Effective Date)
12093,Amended Certificate of Incorporation with Increase in Stock
13023,Certificate of Acquisition
13027,Certificate of Amendment (Prior To Effective Date)
12100,Certificate Of Termination Of Merger (Prior To Effective Date)
12104,Certificate of Amendment of Consolidation (Prior To Effective Date)
12107,Revocation of Dissolution
12108,OTC Suspension
13028,Certificate of Termination (Prior to Effective Date)
13005,Withdrawal of Trade Name Report
13007,Trade Name Transfer Recipient
13008,Certificate of Correction
13014,Change of Registered Agent and/or Office
13003,Trade Name Report
13018,Resignation of Former Registered Agent
13019,Certificate of Merger
13020,Certificate of Consolidation
13131,Resignation of Registered Agent
13030,Amended Certificate of Qualification
13031,Certificate of Withdrawal
13032,Annual Certificates - TAC
13088,Certificate of Qualification(TAC)
13089,Certificate of Qualification(POC)
13099,Certificate Of Amendment Of Merger (Prior To Effective Date)
14135,OTC Suspension in Error
13101,Withdrawal of Fictitious Name
13102,Amended Fictitious Name
13104,Certificate of Amendment of Consolidation (Prior To Effective Date)
13105,Certificate of Termination of Consolidation (Prior to Effective Date)
13108,OTC Suspension
13109,OTC Reinstatement
13110,Annual Certificates - Invested Capital
13111,Ousted
13135,OTC Suspension in Error
13137,Certificate of Conversion(POC)
14003,Trade Name Report
14004,Amended Trade Name Report
14105,Certificate of Termination of Consolidation (Prior to Effective Date)
13132,Administrative Agent Change
14108,OTC Suspension
14109,OTC Reinstatement
14110,Annual Certificates - Invested Capital
14111,Ousted
14131,Resignation of Registered Agent
14132,Administrative Agent Change
15005,Withdrawal of Trade Name Report
15007,Trade Name Transfer Recipient
15014,Change of Registered Agent and/or Office
15015,Appointment of Registered Agent
15018,Resignation of Former Registered Agent
14137,Certificate of Conversion(POC)
15020,Certificate of Consolidation
15030,Amended Certificate of Qualification
15031,Certificate of Withdrawal
15088,Certificate of Qualification(TAC)
14139,Certificate of Conversion(TAC)
15003,Trade Name Report
15103,Amended Certificate Of Qualification With Mailing Address Change Only
15104,Certificate of Amendment of Consolidation (Prior To Effective Date)
15089,Certificate of Qualification(POC)
15027,Certificate of Amendment (Prior To Effective Date)
15028,Certificate of Termination (Prior to Effective Date)
16004,Amended Trade Name Report
16005,Withdrawal of Trade Name Report
16006,Transfer of Trade Name
16007,Trade Name Transfer Recipient
15099,Certificate Of Amendment Of Merger (Prior To Effective Date)
15100,Certificate Of Termination Of Merger (Prior To Effective Date)
15101,Withdrawal of Fictitious Name
15102,Amended Fictitious Name
16008,Certificate of Correction
15108,OTC Suspension
15109,OTC Reinstatement
15110,Annual Certificates - Invested Capital
15111,Ousted
15131,Resignation of Registered Agent
15132,Administrative Agent Change
15135,OTC Suspension in Error
15139,Certificate of Conversion(TAC)
15105,Certificate of Termination of Consolidation (Prior to Effective Date)
16003,Trade Name Report
16013,Amended Certificate of Incorporation
16014,Change of Registered Agent and/or Office
16015,Appointment of Registered Agent
16016,Resignation of Registered Agent
16018,Resignation of Former Registered Agent
16019,Certificate of Merger
16022,Certificate of Renewal Revival Extension & Restoration
16025,Certificate of Dissolution
16026,Court Ordered Dissolution
16027,Certificate of Amendment (Prior To Effective Date)
16020,Certificate of Consolidation
16100,Certificate Of Termination Of Merger (Prior To Effective Date)
16105,Certificate of Termination of Consolidation (Prior to Effective Date)
16028,Certificate of Termination (Prior to Effective Date)
16108,OTC Suspension
16109,OTC Reinstatement
16021,Certificate of Conversion
17012,Certificate of Incorporation
16132,Administrative Agent Change
17013,Amended Certificate of Incorporation
17014,Change of Registered Agent and/or Office
17015,Appointment of Registered Agent
17016,Resignation of Registered Agent
16095,Restated Certificate Of Incorporation
16099,Certificate Of Amendment Of Merger (Prior To Effective Date)
17023,Certificate of Acquisition
17017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
16135,OTC Suspension in Error
13139,Certificate of Conversion(TAC)
17003,Trade Name Report
17004,Amended Trade Name Report
17005,Withdrawal of Trade Name Report
17006,Transfer of Trade Name
17008,Certificate of Correction
17025,Certificate of Dissolution
17018,Resignation of Former Registered Agent
17019,Certificate of Merger
17020,Certificate of Consolidation
17022,Certificate of Renewal Revival Extension & Restoration
18005,Withdrawal of Trade Name Report
18006,Transfer of Trade Name
18007,Trade Name Transfer Recipient
17026,Court Ordered Dissolution
17027,Certificate of Amendment (Prior To Effective Date)
17028,Certificate of Termination (Prior to Effective Date)
17095,Restated Certificate Of Incorporation
18008,Certificate of Correction
17105,Certificate of Termination of Consolidation (Prior to Effective Date)
17107,Revocation of Dissolution
17108,OTC Suspension
17109,OTC Reinstatement
17132,Administrative Agent Change
17135,OTC Suspension in Error
18003,Trade Name Report
18014,Change of Registered Agent and/or Office
18018,Resignation of Former Registered Agent
18020,Certificate of Consolidation
18021,Certificate of Conversion
18027,Certificate of Amendment (Prior To Effective Date)
18030,Amended Certificate of Qualification
18031,Certificate of Withdrawal
18099,Certificate Of Amendment Of Merger (Prior To Effective Date)
18100,Certificate Of Termination Of Merger (Prior To Effective Date)
18101,Withdrawal of Fictitious Name
18028,Certificate of Termination (Prior to Effective Date)
18131,Resignation of Registered Agent
18132,Administrative Agent Change
18135,OTC Suspension in Error
19003,Trade Name Report
18102,Amended Fictitious Name
19004,Amended Trade Name Report
19005,Withdrawal of Trade Name Report
19006,Transfer of Trade Name
19007,Trade Name Transfer Recipient
19015,Appointment of Registered Agent
18029,Certificate of Qualification
19036,Articles of Merger
19037,Articles of Consolidation
19038,Articles of Conversion
18104,Certificate of Amendment of Consolidation (Prior To Effective Date)
18108,OTC Suspension
18109,OTC Reinstatement
19132,Administrative Agent Change
20003,Trade Name Report
20005,Withdrawal of Trade Name Report
20007,Trade Name Transfer Recipient
20015,Appointment of Registered Agent
19039,Articles of Dissolution
19026,Court Ordered Dissolution
19033,Articles of Organization
20036,Articles of Merger
20037,Articles of Consolidation
20038,Articles of Conversion
20026,Court Ordered Dissolution
19040,Annual Certificates
19096,Restated Articles Of Organization
19113,Cancelled
21005,Withdrawal of Trade Name Report
21007,Trade Name Transfer Recipient
21016,Resignation of Registered Agent
20039,Articles of Dissolution
20034,Articles of Amendment
20035,Articles of Correction
21038,Articles of Conversion
21026,Court Ordered Dissolution
20040,Annual Certificates
20043,Annual Agent Fee
20096,Restated Articles Of Organization
20113,Cancelled
20129,Change of Registered Agent and/or Office and/or Principal Office
20132,Administrative Agent Change
21003,Trade Name Report
21004,Amended Trade Name Report
22007,Trade Name Transfer Recipient
22015,Appointment of Registered Agent
21039,Articles of Dissolution
21033,Articles of Organization
21034,Articles of Amendment
21035,Articles of Correction
21036,Articles of Merger
21037,Articles of Consolidation
22038,Articles of Conversion
22026,Court Ordered Dissolution
21043,Annual Agent Fee
21113,Cancelled
21129,Change of Registered Agent and/or Office and/or Principal Office
21132,Administrative Agent Change
22005,Withdrawal of Trade Name Report
23008,Certificate of Correction
23015,Appointment of Registered Agent
22034,Articles of Amendment
22035,Articles of Correction
22036,Articles of Merger
22096,Restated Articles Of Organization
22039,Articles of Dissolution
22113,Cancelled
22129,Change of Registered Agent and/or Office and/or Principal Office
22132,Administrative Agent Change
23004,Amended Trade Name Report
23005,Withdrawal of Trade Name Report
23007,Trade Name Transfer Recipient
24005,Withdrawal of Trade Name Report
23031,Certificate of Withdrawal
24007,Trade Name Transfer Recipient
24015,Appointment of Registered Agent
24031,Certificate of Withdrawal
22040,Annual Certificates
22043,Annual Agent Fee
24041,Certificate of Registration
24042,Certificate of Amendment
24036,Articles of Merger
24113,Cancelled
23131,Resignation of Registered Agent
23132,Administrative Agent Change
25008,Certificate of Correction
25031,Certificate of Withdrawal
24129,Change of Registered Agent and/or Office and/or Principal Office
24037,Articles of Consolidation
24038,Articles of Conversion
24040,Annual Certificates
25113,Cancelled
25036,Articles of Merger
24131,Resignation of Registered Agent
24132,Administrative Agent Change
25003,Trade Name Report
25004,Amended Trade Name Report
25007,Trade Name Transfer Recipient
26016,Resignation of Registered Agent
25038,Articles of Conversion
25040,Annual Certificates
25042,Certificate of Amendment
25043,Annual Agent Fee
25131,Resignation of Registered Agent
25132,Administrative Agent Change
26003,Trade Name Report
26004,Amended Trade Name Report
26005,Withdrawal of Trade Name Report
26007,Trade Name Transfer Recipient
26008,Certificate of Correction
26014,Change of Registered Agent and/or Office
26021,Certificate of Conversion
26040,Annual Certificates
26044,Certificate of Limited Partnership
26045,Certificate of Cancellation
26019,Certificate of Merger
26047,Amendment To ULPA
26113,Cancelled
26132,Administrative Agent Change
27003,Trade Name Report
27005,Withdrawal of Trade Name Report
27007,Trade Name Transfer Recipient
27008,Certificate of Correction
35132,Administrative Agent Change
36003,Trade Name Report
36005,Withdrawal of Trade Name Report
36006,Transfer of Trade Name
36008,Certificate of Correction
36014,Change of Registered Agent and/or Office
36015,Appointment of Registered Agent
27020,Certificate of Consolidation
27016,Resignation of Registered Agent
27043,Annual Agent Fee
27044,Certificate of Limited Partnership
27045,Certificate of Cancellation
27046,Court Ordered Cancellation
27047,Amendment To ULPA
27097,Restated Certificate Of Limited Partnership
27021,Certificate of Conversion
27019,Certificate of Merger
28007,Trade Name Transfer Recipient
28014,Change of Registered Agent and/or Office
28015,Appointment of Registered Agent
28016,Resignation of Registered Agent
28020,Certificate of Consolidation
27040,Annual Certificates
28044,Certificate of Limited Partnership
28045,Certificate of Cancellation
28047,Amendment To ULPA
28097,Restated Certificate Of Limited Partnership
27113,Cancelled
27132,Administrative Agent Change
28003,Trade Name Report
29005,Withdrawal of Trade Name Report
29006,Transfer of Trade Name
29007,Trade Name Transfer Recipient
29014,Change of Registered Agent and/or Office
29016,Resignation of Registered Agent
29019,Certificate of Merger
28042,Certificate of Amendment
28043,Annual Agent Fee
29045,Certificate of Cancellation
29047,Amendment To ULPA
29097,Restated Certificate Of Limited Partnership
29113,Cancelled
28113,Cancelled
28132,Administrative Agent Change
29003,Trade Name Report
30019,Certificate of Merger
30021,Certificate of Conversion
30040,Annual Certificates
30043,Annual Agent Fee
29043,Annual Agent Fee
29044,Certificate of Limited Partnership
30048,Application for Registration
31005,Withdrawal of Trade Name Report
31007,Trade Name Transfer Recipient
30003,Trade Name Report
30005,Withdrawal of Trade Name Report
30006,Transfer of Trade Name
30007,Trade Name Transfer Recipient
30008,Certificate of Correction
30014,Change of Registered Agent and/or Office
29132,Administrative Agent Change
30015,Appointment of Registered Agent
31008,Certificate of Correction
30049,Amended Certificate of Registration
30113,Cancelled
30116,Amended Certificate of Registration With Mailing Address Chg
30131,Resignation of Registered Agent
30132,Administrative Agent Change
31015,Appointment of Registered Agent
31019,Certificate of Merger
31020,Certificate of Consolidation
31040,Annual Certificates
31048,Application for Registration
32005,Withdrawal of Trade Name Report
31051,Cancellation of Registration
32006,Transfer of Trade Name
32007,Trade Name Transfer Recipient
32008,Certificate of Correction
32015,Appointment of Registered Agent
32019,Certificate of Merger
32051,Cancellation of Registration
32113,Cancelled
32116,Amended Certificate of Registration With Mailing Address Chg
31113,Cancelled
31116,Amended Certificate of Registration With Mailing Address Chg
31132,Administrative Agent Change
32003,Trade Name Report
33021,Certificate of Conversion
33113,Cancelled
33115,Change of Chief Executive Office
32040,Annual Certificates
32043,Annual Agent Fee
32048,Application for Registration
32049,Amended Certificate of Registration
33117,Statement of Qualification
34004,Amended Trade Name Report
34006,Transfer of Trade Name
34007,Trade Name Transfer Recipient
32132,Administrative Agent Change
32131,Resignation of Registered Agent
33006,Transfer of Trade Name
33007,Trade Name Transfer Recipient
33019,Certificate of Merger
33020,Certificate of Consolidation
34117,Foreign Statement of Qualification
34118,Amended Statement of Foreign Qualification
34119,Statement of Dissolution
33118,Amended Statement of Qualification
33119,Statement of Dissolution
33132,Administrative Agent Change
34122,Statement of Cancellation
34020,Certificate of Consolidation
34040,Annual Certificates
34087,Change of Office Address
34019,Certificate of Merger
34113,Cancelled
34129,Change of Registered Agent and/or Office
34132,Administrative Agent Change
35003,Trade Name Report
35005,Withdrawal of Trade Name Report
35006,Transfer of Trade Name
35008,Certificate of Correction
35015,Appointment of Registered Agent
35020,Certificate of Consolidation
35021,Certificate of Conversion
35023,Certificate of Acquisition
35017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
35026,Court Ordered Dissolution
35027,Certificate of Amendment (Prior To Effective Date)
35028,Certificate of Termination (Prior to Effective Date)
35061,Articles of Association
35025,Certificate of Dissolution
35018,Resignation of Former Registered Agent
35099,Certificate Of Amendment Of Merger (Prior To Effective Date)
35100,Certificate Of Termination Of Merger (Prior To Effective Date)
35104,Certificate of Amendment of Consolidation (Prior To Effective Date)
35105,Certificate of Termination of Consolidation (Prior to Effective Date)
35107,Revocation of Dissolution
35098,Restated Articles Of Association
36019,Certificate of Merger
36020,Certificate of Consolidation
36021,Certificate of Conversion
36022,Certificate of Renewal Revival Extension & Restoration
36023,Certificate of Acquisition
36017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
36026,Court Ordered Dissolution
36027,Certificate of Amendment (Prior To Effective Date)
36028,Certificate of Termination (Prior to Effective Date)
36062,Amended Articles of Association
36025,Certificate of Dissolution
36018,Resignation of Former Registered Agent
36099,Certificate Of Amendment Of Merger (Prior To Effective Date)
36104,Certificate of Amendment of Consolidation (Prior To Effective Date)
36105,Certificate of Termination of Consolidation (Prior to Effective Date)
36107,Revocation of Dissolution
37004,Amended Trade Name Report
37005,Withdrawal of Trade Name Report
37006,Transfer of Trade Name
37007,Trade Name Transfer Recipient
37008,Certificate of Correction
36132,Administrative Agent Change
37013,Amended Certificate of Incorporation
37014,Change of Registered Agent and/or Office
37015,Appointment of Registered Agent
37019,Certificate of Merger
37021,Certificate of Conversion
37022,Certificate of Renewal Revival Extension & Restoration
37023,Certificate of Acquisition
37017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
37003,Trade Name Report
37026,Court Ordered Dissolution
37027,Certificate of Amendment (Prior To Effective Date)
37028,Certificate of Termination (Prior to Effective Date)
37093,Amended Certificate of Incorporation with Increase in Stock
37099,Certificate Of Amendment Of Merger (Prior To Effective Date)
37024,Certificate of Designation
37018,Resignation of Former Registered Agent
37107,Revocation of Dissolution
37108,OTC Suspension
37109,OTC Reinstatement
37132,Administrative Agent Change
37100,Certificate Of Termination Of Merger (Prior To Effective Date)
37135,OTC Suspension in Error
38003,Trade Name Report
38004,Amended Trade Name Report
38005,Withdrawal of Trade Name Report
38007,Trade Name Transfer Recipient
37025,Certificate of Dissolution
38017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
38019,Certificate of Merger
37104,Certificate of Amendment of Consolidation (Prior To Effective Date)
37105,Certificate of Termination of Consolidation (Prior to Effective Date)
38024,Certificate of Designation
38025,Certificate of Dissolution
38026,Court Ordered Dissolution
38012,Certificate of Incorporation
38013,Amended Certificate of Incorporation
38015,Appointment of Registered Agent
38105,Certificate of Termination of Consolidation (Prior to Effective Date)
