FILING_TYPE_ID,FILING_TYPE
38027,Certificate of Amendment (Prior To Effective Date)
38021,Certificate of Conversion
38022,Certificate of Renewal Revival Extension & Restoration
39008,Certificate of Correction
39012,Certificate of Incorporation
39013,Amended Certificate of Incorporation
38028,Certificate of Termination (Prior to Effective Date)
38099,Certificate Of Amendment Of Merger (Prior To Effective Date)
38100,Certificate Of Termination Of Merger (Prior To Effective Date)
39021,Certificate of Conversion
39022,Certificate of Renewal Revival Extension & Restoration
38108,OTC Suspension
38109,OTC Reinstatement
38132,Administrative Agent Change
38135,OTC Suspension in Error
39003,Trade Name Report
39005,Withdrawal of Trade Name Report
39006,Transfer of Trade Name
38107,Revocation of Dissolution
39007,Trade Name Transfer Recipient
39093,Amended Certificate of Incorporation with Increase in Stock
39023,Certificate of Acquisition
39015,Appointment of Registered Agent
39017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
39019,Certificate of Merger
39105,Certificate of Termination of Consolidation (Prior to Effective Date)
39094,Restated Certificate Of Incorporation With Increase In Stock
39024,Certificate of Designation
39025,Certificate of Dissolution
39026,Court Ordered Dissolution
39028,Certificate of Termination (Prior to Effective Date)
40015,Appointment of Registered Agent
40016,Resignation of Registered Agent
40017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
39095,Restated Certificate Of Incorporation
39100,Certificate Of Termination Of Merger (Prior To Effective Date)
39104,Certificate of Amendment of Consolidation (Prior To Effective Date)
40018,Resignation of Former Registered Agent
39108,OTC Suspension
39109,OTC Reinstatement
39132,Administrative Agent Change
39135,OTC Suspension in Error
40003,Trade Name Report
40004,Amended Trade Name Report
40005,Withdrawal of Trade Name Report
40006,Transfer of Trade Name
40008,Certificate of Correction
40014,Change of Registered Agent and/or Office
40019,Certificate of Merger
40020,Certificate of Consolidation
40021,Certificate of Conversion
40022,Certificate of Renewal Revival Extension & Restoration
40023,Certificate of Acquisition
40024,Certificate of Designation
40025,Certificate of Dissolution
40027,Certificate of Amendment (Prior To Effective Date)
40028,Certificate of Termination (Prior to Effective Date)
40033,Articles of Organization
40034,Articles of Amendment
40099,Certificate Of Amendment Of Merger (Prior To Effective Date)
40100,Certificate Of Termination Of Merger (Prior To Effective Date)
40026,Court Ordered Dissolution
40107,Revocation of Dissolution
40108,OTC Suspension
40109,OTC Reinstatement
40114,Restated Articles
40127,Restated Articles with Increase in Stock
40132,Administrative Agent Change
40135,OTC Suspension in Error
41003,Trade Name Report
40105,Certificate of Termination of Consolidation (Prior to Effective Date)
41008,Certificate of Correction
41012,Certificate of Incorporation
41014,Change of Registered Agent and/or Office
41015,Appointment of Registered Agent
41016,Resignation of Registered Agent
41017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
41022,Certificate of Renewal Revival Extension & Restoration
41024,Certificate of Designation
41025,Certificate of Dissolution
41019,Certificate of Merger
41005,Withdrawal of Trade Name Report
41007,Trade Name Transfer Recipient
41094,Restated Certificate Of Incorporation With Increase In Stock
41095,Restated Certificate Of Incorporation
41026,Court Ordered Dissolution
41020,Certificate of Consolidation
41021,Certificate of Conversion
41105,Certificate of Termination of Consolidation (Prior to Effective Date)
41107,Revocation of Dissolution
41108,OTC Suspension
41109,OTC Reinstatement
41132,Administrative Agent Change
41135,OTC Suspension in Error
41099,Certificate Of Amendment Of Merger (Prior To Effective Date)
41027,Certificate of Amendment (Prior To Effective Date)
41028,Certificate of Termination (Prior to Effective Date)
42014,Change of Registered Agent and/or Office
42003,Trade Name Report
42015,Appointment of Registered Agent
42016,Resignation of Registered Agent
42017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
42018,Resignation of Former Registered Agent
41104,Certificate of Amendment of Consolidation (Prior To Effective Date)
42026,Court Ordered Dissolution
42019,Certificate of Merger
42004,Amended Trade Name Report
42005,Withdrawal of Trade Name Report
42007,Trade Name Transfer Recipient
42012,Certificate of Incorporation
42013,Amended Certificate of Incorporation
42027,Certificate of Amendment (Prior To Effective Date)
42020,Certificate of Consolidation
42021,Certificate of Conversion
42023,Certificate of Acquisition
42025,Certificate of Dissolution
42028,Certificate of Termination (Prior to Effective Date)
42095,Restated Certificate Of Incorporation
42099,Certificate Of Amendment Of Merger (Prior To Effective Date)
42100,Certificate Of Termination Of Merger (Prior To Effective Date)
42105,Certificate of Termination of Consolidation (Prior to Effective Date)
43003,Trade Name Report
43004,Amended Trade Name Report
43005,Withdrawal of Trade Name Report
43006,Transfer of Trade Name
43007,Trade Name Transfer Recipient
43008,Certificate of Correction
42107,Revocation of Dissolution
43014,Change of Registered Agent and/or Office
43015,Appointment of Registered Agent
43019,Certificate of Merger
43028,Certificate of Termination (Prior to Effective Date)
43030,Amended Certificate of Qualification
43031,Certificate of Withdrawal
43020,Certificate of Consolidation
42132,Administrative Agent Change
43103,Amended Certificate Of Qualification With Mailing Address Change Only
43105,Certificate of Termination of Consolidation (Prior to Effective Date)
43108,OTC Suspension
43109,OTC Reinstatement
43099,Certificate Of Amendment Of Merger (Prior To Effective Date)
43023,Certificate of Acquisition
44053,Amended Registration
44055,Notice of Cancellation
44057,Notice of Registration Exemption
43100,Certificate Of Termination Of Merger (Prior To Effective Date)
43101,Withdrawal of Fictitious Name
46048,Application for Registration
45048,Application for Registration
46130,Renewal Registration
43132,Administrative Agent Change
43135,OTC Suspension in Error
44048,Application for Registration
44052,Renewal Registration
48074,Declaration of Trust/Trust Indenture
48077,Preliminary Official Statement
48082,Conflict of Interest Report
45052,Renewal Registration
45054,Change of Principal Place of Business Address
45056,Notice of Merger
50060,Professional Solicitor Renewal Registration
47064,Charter
47065,Charter Amendment
47066,Approval of Governor
47067,Proclamation
47068,Resolution
47069,Ordinance
47070,Petition
47063,Historical Evidence
47071,Dissolution
47072,Census
47073,Document for Record
49012,Certificate of Incorporation
49013,Amended Certificate of Incorporation
49025,Certificate of Dissolution
49108,OTC Suspension
49109,OTC Reinstatement
49135,OTC Suspension in Error
50059,Professional Solicitor Registration
52003,Trade Name Report
52113,Cancelled
52016,Resignation of Registered Agent
52019,Certificate of Merger
52020,Certificate of Consolidation
52021,Certificate of Conversion
52040,Annual Certificates
52043,Annual Agent Fee
52054,Change of Principal Place of Business Address
52087,Change of Office Address
52107,Revocation of Dissolution
52132,Administrative Agent Change
35013,Amended Certificate of Incorporation
40013,Amended Certificate of Incorporation
35095,Restated Certificate Of Incorporation
37095,Restated Certificate Of Incorporation
38095,Restated Certificate Of Incorporation
40095,Restated Certificate Of Incorporation
52124,Amended Statement of Partnership Authority
52004,Amended Trade Name Report
52005,Withdrawal of Trade Name Report
52006,Transfer of Trade Name
52007,Trade Name Transfer Recipient
15017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
19017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
20017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
22017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
23017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
52119,Statement of Dissolution
13017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
52121,Statement of Dissociation
33017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
43017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
26017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
19018,Resignation of Former Registered Agent
20018,Resignation of Former Registered Agent
22018,Resignation of Former Registered Agent
25017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
24018,Resignation of Former Registered Agent
25018,Resignation of Former Registered Agent
44014,Change of Registered Agent and/or Office
45014,Change of Registered Agent and/or Office
49014,Change of Registered Agent and/or Office
33015,Appointment of Registered Agent
34015,Appointment of Registered Agent
28018,Resignation of Former Registered Agent
29018,Resignation of Former Registered Agent
30018,Resignation of Former Registered Agent
27018,Resignation of Former Registered Agent
31018,Resignation of Former Registered Agent
33018,Resignation of Former Registered Agent
43022,Certificate of Renewal Revival Extension & Restoration
49026,Court Ordered Dissolution
49107,Revocation of Dissolution
23111,Ousted
24111,Ousted
25111,Ousted
30111,Ousted
31111,Ousted
32111,Ousted
29017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
30017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
40104,Certificate of Amendment of Consolidation (Prior To Effective Date)
16107,Revocation of Dissolution
19142,Terminated
20142,Terminated
21142,Terminated
23142,Terminated
24142,Terminated
26142,Terminated
30142,Terminated
26108,OTC Suspension
26052,Renewal Registration
28142,Terminated
23102,Amended Fictitious Name
25102,Amended Fictitious Name
27142,Terminated
23101,Withdrawal of Fictitious Name
19021,Certificate of Conversion
22021,Certificate of Conversion
21021,Certificate of Conversion
13021,Certificate of Conversion
15021,Certificate of Conversion
23021,Certificate of Conversion
25021,Certificate of Conversion
43021,Certificate of Conversion
48006,Transfer of Trade Name
7143,Certificate of Merger with Restated
9143,Certificate of Merger with Restated
10143,Certificate of Merger with Restated
13143,Certificate of Merger with Restated
14143,Certificate of Merger with Restated
15143,Certificate of Merger with Restated
16143,Certificate of Merger with Restated
17143,Certificate of Merger with Restated
18143,Certificate of Merger with Restated
26143,Certificate of Merger with Restated
27143,Certificate of Merger with Restated
28143,Certificate of Merger with Restated
29143,Certificate of Merger with Restated
30143,Certificate of Merger with Restated
31143,Certificate of Merger with Restated
33143,Certificate of Merger with Restated
34143,Certificate of Merger with Restated
36143,Certificate of Merger with Restated
37143,Certificate of Merger with Restated
38143,Certificate of Merger with Restated
40143,Certificate of Merger with Restated
41143,Certificate of Merger with Restated
43143,Certificate of Merger with Restated
44143,Notice of Merger with Restated
45143,Notice of Merger with Restated
19144,Articles of Merger with Restated
20144,Articles of Merger with Restated
22144,Articles of Merger with Restated
23144,Articles of Merger with Restated
24144,Articles of Merger with Restated
19145,Reinstatement
20145,Reinstatement
21145,Reinstatement
23145,Reinstatement
24145,Reinstatement
25145,Reinstatement
27145,Reinstatement
28145,Reinstatement
29145,Reinstatement
30145,Reinstatement
31145,Reinstatement
32145,Reinstatement
19146,Reinstatement With Amendment
20146,Reinstatement With Amendment
21146,Reinstatement With Amendment
22146,Reinstatement With Amendment
23146,Reinstatement With Amendment
24146,Reinstatement With Amendment
25146,Reinstatement With Amendment
27146,Reinstatement With Amendment
28146,Reinstatement With Amendment
30146,Reinstatement With Amendment
31146,Reinstatement With Amendment
32146,Reinstatement With Amendment
34147,Rebuttal of Dissolution
49037,Articles of Consolidation
33008,Certificate of Correction
26121,Statement of Dissociation
27121,Statement of Dissociation
28121,Statement of Dissociation
29121,Statement of Dissociation
31121,Statement of Dissociation
26148,Statement of Cessation
28148,Statement of Cessation
29148,Statement of Cessation
31148,Statement of Cessation
32148,Statement of Cessation
34148,Statement of Cessation
48005,Withdrawal of Trade Name Report
28149,Annual Certificates (BAT)
23149,Annual Certificates (BAT)
19149,Annual Certificates (BAT)
20149,Annual Certificates (BAT)
21149,Annual Certificates (BAT)
22149,Annual Certificates (BAT)
24149,Annual Certificates (BAT)
25149,Annual Certificates (BAT)
26149,Annual Certificates (BAT)
27149,Annual Certificates (BAT)
30149,Annual Certificates (BAT)
29149,Annual Certificates (BAT)
31149,Annual Certificates (BAT)
33149,Annual Certificates (BAT)
32149,Annual Certificates (BAT)
52149,Annual Certificates (BAT)
19150,Reinstatement (BAT)
20150,Reinstatement (BAT)
21150,Reinstatement (BAT)
22150,Reinstatement (BAT)
23150,Reinstatement (BAT)
24150,Reinstatement (BAT)
25150,Reinstatement (BAT)
26150,Reinstatement (BAT)
30150,Reinstatement (BAT)
27150,Reinstatement (BAT)
28150,Reinstatement (BAT)
29150,Reinstatement (BAT)
31150,Reinstatement (BAT)
32150,Reinstatement (BAT)
44049,Application for Registration - EZ
44051,Renewal Registration - EZ
13106,Annual Certificates - Penalties
25142,Terminated
28151,Email Update
23151,Email Update
19151,Email Update
20151,Email Update
21151,Email Update
22151,Email Update
24151,Email Update
25151,Email Update
26151,Email Update
27151,Email Update
30151,Email Update
29151,Email Update
31151,Email Update
33151,Email Update
32151,Email Update
52151,Email Update
7151,Email Update
17151,Email Update
42151,Email Update
13151,Email Update
34151,Email Update
36151,Email Update
48151,Email Update
16151,Email Update
43151,Email Update
44151,Email Update
9151,Email Update
41151,Email Update
10151,Email Update
14151,Email Update
35151,Email Update
38151,Email Update
37151,Email Update
45151,Email Update
39151,Email Update
40151,Email Update
22142,Terminated
48007,Trade Name Transfer Recipient
47007,Trade Name Transfer Recipient
47003,Trade Name Report
47006,Transfer of Trade Name
47005,Withdrawal of Trade Name Report
14019,Certificate of Merger
23038,Articles of Conversion
14032,Annual Certificates - TAC
14102,Amended Fictitious Name
23043,Annual Agent Fee
9014,Change of Registered Agent and/or Office
9016,Resignation of Registered Agent
9020,Certificate of Consolidation
9024,Certificate of Designation
10017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
10024,Certificate of Designation
10007,Trade Name Transfer Recipient
10094,Restated Certificate Of Incorporation With Increase In Stock
10107,Revocation of Dissolution
12008,Certificate of Correction
12021,Certificate of Conversion
12099,Certificate Of Amendment Of Merger (Prior To Effective Date)
12094,Restated Certificate Of Incorporation With Increase In Stock
12105,Certificate of Termination of Consolidation (Prior to Effective Date)
13100,Certificate Of Termination Of Merger (Prior To Effective Date)
14104,Certificate of Amendment of Consolidation (Prior To Effective Date)
15006,Transfer of Trade Name
15008,Certificate of Correction
15019,Certificate of Merger
15032,Annual Certificates - TAC
15023,Certificate of Acquisition
15004,Amended Trade Name Report
15137,Certificate of Conversion(POC)
3006,Transfer of Trade Name
27015,Appointment of Registered Agent
25015,Appointment of Registered Agent
24003,Trade Name Report
22003,Trade Name Report
22004,Amended Trade Name Report
22016,Resignation of Registered Agent
31043,Annual Agent Fee
31004,Amended Trade Name Report
30004,Amended Trade Name Report
28040,Annual Certificates
28004,Amended Trade Name Report
26097,Restated Certificate Of Limited Partnership
39004,Amended Trade Name Report
33120,Statement of Denial
33121,Statement of Dissociation
33003,Trade Name Report
33016,Resignation of Registered Agent
48076,Supplemental Filing
48079,Preliminary Private Placement Mem
48085,Agreement
43131,Resignation of Registered Agent
4007,Trade Name Transfer Recipient
7008,Certificate of Correction
6009,Certificate of Fictitious Name
6011,Certificate of Cancellation of Fictitious Name
7013,Amended Certificate of Incorporation
7017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
7100,Certificate Of Termination Of Merger (Prior To Effective Date)
8023,Certificate of Acquisition
8027,Certificate of Amendment (Prior To Effective Date)
8099,Certificate Of Amendment Of Merger (Prior To Effective Date)
8094,Restated Certificate Of Incorporation With Increase In Stock
9007,Trade Name Transfer Recipient
9013,Amended Certificate of Incorporation
39143,Certificate of Merger with Restated
42143,Certificate of Merger with Restated
52143,Certificate of Merger with Restated
21144,Articles of Merger with Restated
25144,Articles of Merger with Restated
22145,Reinstatement
26145,Reinstatement
26146,Reinstatement With Amendment
29146,Reinstatement With Amendment
33147,Rebuttal of Dissolution
34008,Certificate of Correction
30121,Statement of Dissociation
32121,Statement of Dissociation
27148,Statement of Cessation
30148,Statement of Cessation
33148,Statement of Cessation
18151,Email Update
15151,Email Update
12151,Email Update
8151,Email Update
19152,Registered Series Articles of Organization
53143,Certificate of Merger with Restated
53151,Email Update
54003,Trade Name Report
54004,Amended Trade Name Report
54005,Withdrawal of Trade Name Report
54006,Transfer of Trade Name
54007,Trade Name Transfer Recipient
54008,Certificate of Correction
54017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
54018,Resignation of Former Registered Agent
54021,Certificate of Conversion
54031,Certificate of Withdrawal
54036,Articles of Merger
54037,Articles of Consolidation
54038,Articles of Conversion
54040,Annual Certificates
54041,Certificate of Registration
54042,Certificate of Amendment
54043,Annual Agent Fee
54102,Amended Fictitious Name
54111,Ousted
54113,Cancelled
54129,Change of Registered Agent and/or Office and/or Principal Office
54131,Resignation of Registered Agent
54132,Administrative Agent Change
54142,Terminated
54144,Articles of Merger with Restated
54145,Reinstatement
54146,Reinstatement With Amendment
54151,Email Update
55132,Administrative Agent Change
55049,Amended Certificate of Registration
55116,Amended Certificate of Registration With Mailing Address Chg
55004,Amended Trade Name Report
55043,Annual Agent Fee
55040,Annual Certificates
55048,Application for Registration
55015,Appointment of Registered Agent
53003,Trade Name Report
53004,Amended Trade Name Report
53005,Withdrawal of Trade Name Report
53006,Transfer of Trade Name
53007,Trade Name Transfer Recipient
53014,Change of Registered Agent and/or Office
53015,Appointment of Registered Agent
53017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
53018,Resignation of Former Registered Agent
53019,Certificate of Merger
53020,Certificate of Consolidation
53021,Certificate of Conversion
16012,Certificate of Incorporation
16017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
16023,Certificate of Acquisition
16104,Certificate of Amendment of Consolidation (Prior To Effective Date)
17007,Trade Name Transfer Recipient
17099,Certificate Of Amendment Of Merger (Prior To Effective Date)
17021,Certificate of Conversion
17100,Certificate Of Termination Of Merger (Prior To Effective Date)
17104,Certificate of Amendment of Consolidation (Prior To Effective Date)
18004,Amended Trade Name Report
18015,Appointment of Registered Agent
18019,Certificate of Merger
18023,Certificate of Acquisition
19035,Articles of Correction
19016,Resignation of Registered Agent
18105,Certificate of Termination of Consolidation (Prior to Effective Date)
19034,Articles of Amendment
19043,Annual Agent Fee
21006,Transfer of Trade Name
21015,Appointment of Registered Agent
20033,Articles of Organization
21040,Annual Certificates
21096,Restated Articles Of Organization
22033,Articles of Organization
22037,Articles of Consolidation
23003,Trade Name Report
23006,Transfer of Trade Name
24006,Transfer of Trade Name
24008,Certificate of Correction
25006,Transfer of Trade Name
26015,Appointment of Registered Agent
25037,Articles of Consolidation
25041,Certificate of Registration
26006,Transfer of Trade Name
25129,Change of Registered Agent and/or Office and/or Principal Office
26020,Certificate of Consolidation
26042,Certificate of Amendment
26046,Court Ordered Cancellation
27014,Change of Registered Agent and/or Office
36004,Amended Trade Name Report
36007,Trade Name Transfer Recipient
28006,Transfer of Trade Name
28008,Certificate of Correction
28019,Certificate of Merger
27042,Certificate of Amendment
28021,Certificate of Conversion
29008,Certificate of Correction
29020,Certificate of Consolidation
29046,Court Ordered Cancellation
29021,Certificate of Conversion
29004,Amended Trade Name Report
30020,Certificate of Consolidation
29040,Annual Certificates
29042,Certificate of Amendment
30051,Cancellation of Registration
31021,Certificate of Conversion
31049,Amended Certificate of Registration
32014,Change of Registered Agent and/or Office
31014,Change of Registered Agent and/or Office
32020,Certificate of Consolidation
31131,Resignation of Registered Agent
32004,Amended Trade Name Report
33040,Annual Certificates
32021,Certificate of Conversion
34121,Statement of Dissociation
33129,Change of Registered Agent and/or Office
35016,Resignation of Registered Agent
34021,Certificate of Conversion
34115,Change of Chief Executive Office
34131,Resignation of Registered Agent
35004,Amended Trade Name Report
35007,Trade Name Transfer Recipient
35014,Change of Registered Agent and/or Office
35019,Certificate of Merger
35022,Certificate of Renewal Revival Extension & Restoration
35062,Amended Articles of Association
36061,Articles of Association
36100,Certificate Of Termination Of Merger (Prior To Effective Date)
36098,Restated Articles Of Association
37012,Certificate of Incorporation
37016,Resignation of Registered Agent
37020,Certificate of Consolidation
38006,Transfer of Trade Name
38016,Resignation of Registered Agent
38018,Resignation of Former Registered Agent
38008,Certificate of Correction
38020,Certificate of Consolidation
38014,Change of Registered Agent and/or Office
38104,Certificate of Amendment of Consolidation (Prior To Effective Date)
38023,Certificate of Acquisition
39016,Resignation of Registered Agent
39018,Resignation of Former Registered Agent
39020,Certificate of Consolidation
39027,Certificate of Amendment (Prior To Effective Date)
39099,Certificate Of Amendment Of Merger (Prior To Effective Date)
39107,Revocation of Dissolution
40007,Trade Name Transfer Recipient
40126,Articles of Amendment with Increase in Stock
41004,Amended Trade Name Report
41013,Amended Certificate of Incorporation
41018,Resignation of Former Registered Agent
41023,Certificate of Acquisition
41006,Transfer of Trade Name
41093,Amended Certificate of Incorporation with Increase in Stock
41100,Certificate Of Termination Of Merger (Prior To Effective Date)
42006,Transfer of Trade Name
42008,Certificate of Correction
42022,Certificate of Renewal Revival Extension & Restoration
42104,Certificate of Amendment of Consolidation (Prior To Effective Date)
43018,Resignation of Former Registered Agent
43029,Certificate of Qualification
43104,Certificate of Amendment of Consolidation (Prior To Effective Date)
44056,Notice of Merger
43102,Amended Fictitious Name
44003,Trade Name Report
48003,Trade Name Report
48075,Amended Declaration of Trust/Amended Trust Indenture
48080,Final Private Placement Mem
48084,Official Statement
45053,Amended Registration
45058,Contract w/Charitable Organization
52014,Change of Registered Agent and/or Office
36013,Amended Certificate of Incorporation
52115,Change of Chief Executive Office
36095,Restated Certificate Of Incorporation
49095,Restated Certificate Of Incorporation
14017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
18017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
21017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
24017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
52120,Statement of Denial
52123,Statement of Partnership Authority
34017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
27017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
21018,Resignation of Former Registered Agent
23018,Resignation of Former Registered Agent
32017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
32018,Resignation of Former Registered Agent
34018,Resignation of Former Registered Agent
26018,Resignation of Former Registered Agent
28017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
31017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
19052,Renewal Registration
24102,Amended Fictitious Name
20021,Certificate of Conversion
14021,Certificate of Conversion
24021,Certificate of Conversion
8143,Certificate of Merger with Restated
12143,Certificate of Merger with Restated
32143,Certificate of Merger with Restated
35143,Certificate of Merger with Restated
53023,Certificate of Acquisition
53027,Certificate of Amendment (Prior To Effective Date)
53028,Certificate of Termination (Prior to Effective Date)
53030,Amended Certificate of Qualification
53031,Certificate of Withdrawal
53032,Annual Certificates - TAC
53088,Certificate of Qualification(TAC)
53089,Certificate of Qualification(POC)
53099,Certificate Of Amendment Of Merger (Prior To Effective Date)
53100,Certificate Of Termination Of Merger (Prior To Effective Date)
53101,Withdrawal of Fictitious Name
53102,Amended Fictitious Name
53103,Amended Certificate Of Qualification With Mailing Address Change Only
53104,Certificate of Amendment of Consolidation (Prior To Effective Date)
53105,Certificate of Termination of Consolidation (Prior to Effective Date)
53106,Annual Certificates - Penalties
53108,OTC Suspension
53109,OTC Reinstatement
53110,Annual Certificates - Invested Capital
53111,Ousted
53132,Administrative Agent Change
53135,OTC Suspension in Error
53137,Certificate of Conversion(POC)
53139,Certificate of Conversion(TAC)
53141,Withdrawal of Ouster
55051,Cancellation of Registration
55113,Cancelled
55020,Certificate of Consolidation
55021,Certificate of Conversion
55008,Certificate of Correction
55019,Certificate of Merger
55143,Certificate of Merger with Restated
55014,Change of Registered Agent and/or Office
55151,Email Update
55111,Ousted
55145,Reinstatement
55146,Reinstatement With Amendment
55018,Resignation of Former Registered Agent
55131,Resignation of Registered Agent
55017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
55148,Statement of Cessation
55121,Statement of Dissociation
55003,Trade Name Report
55007,Trade Name Transfer Recipient
55006,Transfer of Trade Name
55005,Withdrawal of Trade Name Report